county,precinct,office,district,party,candidate,votes
Chemung,Horseheads 402,U.S. House,23,DEM,Ian Golden,0
Chemung,Horseheads 403,U.S. House,23,DEM,Ian Golden,2
Chemung,Horseheads 404,U.S. House,23,DEM,Ian Golden,6
Chemung,Big Flats 405,U.S. House,23,DEM,Ian Golden,9
Chemung,Horseheads 406,U.S. House,23,DEM,Ian Golden,0
Chemung,Horseheads 407,U.S. House,23,DEM,Ian Golden,0
Chemung,Horseheads 408,U.S. House,23,DEM,Ian Golden,5
Chemung,Horseheads 501,U.S. House,23,DEM,Ian Golden,4
Chemung,Horseheads 502,U.S. House,23,DEM,Ian Golden,7
Chemung,Eirn 503,U.S. House,23,DEM,Ian Golden,1
Chemung,Horseheads 504,U.S. House,23,DEM,Ian Golden,11
Chemung,Baldwin 601,U.S. House,23,DEM,Ian Golden,1
Chemung,Chemung 602,U.S. House,23,DEM,Ian Golden,1
Chemung,Erin 604,U.S. House,23,DEM,Ian Golden,2
Chemung,Van Etten 605,U.S. House,23,DEM,Ian Golden,9
Chemung,Chemung 606,U.S. House,23,DEM,Ian Golden,4
Chemung,Elmira 701,U.S. House,23,DEM,Ian Golden,11
Chemung,Elmira 702,U.S. House,23,DEM,Ian Golden,2
Chemung,Elmira 703,U.S. House,23,DEM,Ian Golden,16
Chemung,Elmira 704,U.S. House,23,DEM,Ian Golden,16
Chemung,Elmira 705,U.S. House,23,DEM,Ian Golden,26
Chemung,Big Flats 706,U.S. House,23,DEM,Ian Golden,0
Chemung,Horseheads 801,U.S. House,23,DEM,Ian Golden,2
Chemung,Horseheads 802,U.S. House,23,DEM,Ian Golden,6
Chemung,Horseheads 803,U.S. House,23,DEM,Ian Golden,9
Chemung,Elmira 804,U.S. House,23,DEM,Ian Golden,4
Chemung,Horseheads 805,U.S. House,23,DEM,Ian Golden,2
Chemung,Elmira 908,U.S. House,23,DEM,Ian Golden,0
Chemung,Southport 1207,U.S. House,23,DEM,Ian Golden,0
Chemung,Southport 1306,U.S. House,23,DEM,Ian Golden,6
Chemung,Southport 1401,U.S. House,23,DEM,Ian Golden,2
Chemung,Southport 1402,U.S. House,23,DEM,Ian Golden,5
Chemung,Southport 1403,U.S. House,23,DEM,Ian Golden,6
Chemung,Southport 1404,U.S. House,23,DEM,Ian Golden,4
Chemung,Southport 1405,U.S. House,23,DEM,Ian Golden,2
Chemung,Southport 1406,U.S. House,23,DEM,Ian Golden,2
Chemung,Ashland 1501,U.S. House,23,DEM,Ian Golden,0
Chemung,Southport 1502,U.S. House,23,DEM,Ian Golden,1
Chemung,Southport 1503,U.S. House,23,DEM,Ian Golden,1
Chemung,Southport 1504,U.S. House,23,DEM,Ian Golden,3
Chemung,Southport 1505,U.S. House,23,DEM,Ian Golden,1
Chemung,Elmira 1506,U.S. House,23,DEM,Ian Golden,4
Chemung,Elmira 901,U.S. House,23,DEM,Max Della Pia,6
Chemung,Elmira 902,U.S. House,23,DEM,Max Della Pia,6
Chemung,Elmira 903,U.S. House,23,DEM,Max Della Pia,3
Chemung,Elmira 904,U.S. House,23,DEM,Max Della Pia,1
Chemung,Elmira 905,U.S. House,23,DEM,Max Della Pia,0
Chemung,Elmira 906,U.S. House,23,DEM,Max Della Pia,5
Chemung,Elmira 907,U.S. House,23,DEM,Max Della Pia,2
Chemung,Elmira 1001,U.S. House,23,DEM,Max Della Pia,9
Chemung,Elmira 1002,U.S. House,23,DEM,Max Della Pia,6
Chemung,Elmira 1003,U.S. House,23,DEM,Max Della Pia,1
Chemung,Elmira 1004,U.S. House,23,DEM,Max Della Pia,2
Chemung,Elmira 1005,U.S. House,23,DEM,Max Della Pia,0
Chemung,Elmira 1006,U.S. House,23,DEM,Max Della Pia,9
Chemung,Elmira 1007,U.S. House,23,DEM,Max Della Pia,12
Chemung,Elmira 1101,U.S. House,23,DEM,Max Della Pia,18
Chemung,Elmira 1102,U.S. House,23,DEM,Max Della Pia,6
Chemung,Elmira 1103,U.S. House,23,DEM,Max Della Pia,2
Chemung,Elmira 1104,U.S. House,23,DEM,Max Della Pia,1
Chemung,Elmira 1105,U.S. House,23,DEM,Max Della Pia,8
Chemung,Elmira 1106,U.S. House,23,DEM,Max Della Pia,0
Chemung,Elmira 1201,U.S. House,23,DEM,Max Della Pia,18
Chemung,Elmira 1202,U.S. House,23,DEM,Max Della Pia,2
Chemung,Elmira 1203,U.S. House,23,DEM,Max Della Pia,7
Chemung,Elmira 1204,U.S. House,23,DEM,Max Della Pia,4
Chemung,Elmira 1205,U.S. House,23,DEM,Max Della Pia,14
Chemung,Elmira 1206,U.S. House,23,DEM,Max Della Pia,0
Chemung,Elmira 1301,U.S. House,23,DEM,Max Della Pia,0
Chemung,Elmira 1302,U.S. House,23,DEM,Max Della Pia,6
Chemung,Elmira 1303,U.S. House,23,DEM,Max Della Pia,1
Chemung,Elmira 1304,U.S. House,23,DEM,Max Della Pia,3
Chemung,Elmira 1305,U.S. House,23,DEM,Max Della Pia,0
Chemung,Catlin 101,U.S. House,23,DEM,Max Della Pia,3
Chemung,Veteran 102,U.S. House,23,DEM,Max Della Pia,5
Chemung,Veteran 103,U.S. House,23,DEM,Max Della Pia,7
Chemung,Veteran 104,U.S. House,23,DEM,Max Della Pia,1
Chemung,Catlin 105,U.S. House,23,DEM,Max Della Pia,2
Chemung,Big Flats 201,U.S. House,23,DEM,Max Della Pia,5
Chemung,Big Flats 202,U.S. House,23,DEM,Max Della Pia,2
Chemung,Big Flats 203,U.S. House,23,DEM,Max Della Pia,8
Chemung,Big Flats 204,U.S. House,23,DEM,Max Della Pia,4
Chemung,Big Flats 205,U.S. House,23,DEM,Max Della Pia,8
Chemung,Big Flats 206,U.S. House,23,DEM,Max Della Pia,5
Chemung,Horseheads 301,U.S. House,23,DEM,Max Della Pia,7
Chemung,Horseheads 302,U.S. House,23,DEM,Max Della Pia,12
Chemung,Horseheads 303,U.S. House,23,DEM,Max Della Pia,12
Chemung,Horseheads 304,U.S. House,23,DEM,Max Della Pia,9
Chemung,Horseheads 401,U.S. House,23,DEM,Max Della Pia,1
Chemung,Horseheads 402,U.S. House,23,DEM,Max Della Pia,0
Chemung,Horseheads 403,U.S. House,23,DEM,Max Della Pia,1
Chemung,Horseheads 404,U.S. House,23,DEM,Max Della Pia,1
Chemung,Big Flats 405,U.S. House,23,DEM,Max Della Pia,17
Chemung,Horseheads 406,U.S. House,23,DEM,Max Della Pia,2
Chemung,Horseheads 407,U.S. House,23,DEM,Max Della Pia,0
Chemung,Horseheads 408,U.S. House,23,DEM,Max Della Pia,11
Chemung,Horseheads 501,U.S. House,23,DEM,Max Della Pia,5
Chemung,Horseheads 502,U.S. House,23,DEM,Max Della Pia,4
Chemung,Eirn 503,U.S. House,23,DEM,Max Della Pia,2
Chemung,Horseheads 504,U.S. House,23,DEM,Max Della Pia,10
Chemung,Baldwin 601,U.S. House,23,DEM,Max Della Pia,3
Chemung,Chemung 602,U.S. House,23,DEM,Max Della Pia,6
Chemung,Erin 604,U.S. House,23,DEM,Max Della Pia,2
Chemung,Van Etten 605,U.S. House,23,DEM,Max Della Pia,11
Chemung,Chemung 606,U.S. House,23,DEM,Max Della Pia,4
Chemung,Elmira 701,U.S. House,23,DEM,Max Della Pia,19
Chemung,Elmira 702,U.S. House,23,DEM,Max Della Pia,8
Chemung,Elmira 703,U.S. House,23,DEM,Max Della Pia,20
Chemung,Elmira 704,U.S. House,23,DEM,Max Della Pia,20
Chemung,Elmira 705,U.S. House,23,DEM,Max Della Pia,19
Chemung,Big Flats 706,U.S. House,23,DEM,Max Della Pia,1
Chemung,Horseheads 801,U.S. House,23,DEM,Max Della Pia,1
Chemung,Horseheads 802,U.S. House,23,DEM,Max Della Pia,7
Chemung,Horseheads 803,U.S. House,23,DEM,Max Della Pia,1
Chemung,Elmira 804,U.S. House,23,DEM,Max Della Pia,7
Chemung,Horseheads 805,U.S. House,23,DEM,Max Della Pia,0
Chemung,Elmira 908,U.S. House,23,DEM,Max Della Pia,1
Chemung,Southport 1207,U.S. House,23,DEM,Max Della Pia,4
Chemung,Southport 1306,U.S. House,23,DEM,Max Della Pia,2
Chemung,Southport 1401,U.S. House,23,DEM,Max Della Pia,2
Chemung,Southport 1402,U.S. House,23,DEM,Max Della Pia,3
Chemung,Southport 1403,U.S. House,23,DEM,Max Della Pia,2
Chemung,Southport 1404,U.S. House,23,DEM,Max Della Pia,7
Chemung,Southport 1405,U.S. House,23,DEM,Max Della Pia,1
Chemung,Southport 1406,U.S. House,23,DEM,Max Della Pia,3
Chemung,Ashland 1501,U.S. House,23,DEM,Max Della Pia,3
Chemung,Southport 1502,U.S. House,23,DEM,Max Della Pia,1
Chemung,Southport 1503,U.S. House,23,DEM,Max Della Pia,2
Chemung,Southport 1504,U.S. House,23,DEM,Max Della Pia,0
Chemung,Southport 1505,U.S. House,23,DEM,Max Della Pia,0
Chemung,Elmira 1506,U.S. House,23,DEM,Max Della Pia,3
Chemung,Elmira 901,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 902,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 903,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 904,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 905,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 906,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 907,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1001,U.S. House,23,DEM,Edward A. Sundquist,2
Chemung,Elmira 1002,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 1003,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1004,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 1005,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1006,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1007,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1101,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1102,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1103,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 1104,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1105,U.S. House,23,DEM,Edward A. Sundquist,4
Chemung,Elmira 1106,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1201,U.S. House,23,DEM,Edward A. Sundquist,6
Chemung,Elmira 1202,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1203,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1204,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1205,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 1206,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1301,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1302,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1303,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 1304,U.S. House,23,DEM,Edward A. Sundquist,3
Chemung,Elmira 1305,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Catlin 101,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Veteran 102,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Veteran 103,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Veteran 104,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Catlin 105,U.S. House,23,DEM,Edward A. Sundquist,2
Chemung,Big Flats 201,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Big Flats 202,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Big Flats 203,U.S. House,23,DEM,Edward A. Sundquist,2
Chemung,Big Flats 204,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Big Flats 205,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Big Flats 206,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 301,U.S. House,23,DEM,Edward A. Sundquist,2
Chemung,Horseheads 302,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 303,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Horseheads 304,U.S. House,23,DEM,Edward A. Sundquist,3
Chemung,Horseheads 401,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 402,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Horseheads 403,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 404,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Big Flats 405,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Horseheads 406,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 407,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 408,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 501,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Horseheads 502,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Eirn 503,U.S. House,23,DEM,Edward A. Sundquist,3
Chemung,Horseheads 504,U.S. House,23,DEM,Edward A. Sundquist,3
Chemung,Baldwin 601,U.S. House,23,DEM,Edward A. Sundquist,3
Chemung,Chemung 602,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Erin 604,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Van Etten 605,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Chemung 606,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 701,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 702,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 703,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 704,U.S. House,23,DEM,Edward A. Sundquist,2
Chemung,Elmira 705,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Big Flats 706,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 801,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 802,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Horseheads 803,U.S. House,23,DEM,Edward A. Sundquist,3
Chemung,Elmira 804,U.S. House,23,DEM,Edward A. Sundquist,2
Chemung,Horseheads 805,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Elmira 908,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Southport 1207,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Southport 1306,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Southport 1401,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Southport 1402,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Southport 1403,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Southport 1404,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Southport 1405,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Southport 1406,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Ashland 1501,U.S. House,23,DEM,Edward A. Sundquist,1
Chemung,Southport 1502,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Southport 1503,U.S. House,23,DEM,Edward A. Sundquist,2
Chemung,Southport 1504,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Southport 1505,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 1506,U.S. House,23,DEM,Edward A. Sundquist,0
Chemung,Elmira 901,U.S. House,23,DEM,Linda Andrei,5
Chemung,Elmira 902,U.S. House,23,DEM,Linda Andrei,10
Chemung,Elmira 903,U.S. House,23,DEM,Linda Andrei,6
Chemung,Elmira 904,U.S. House,23,DEM,Linda Andrei,3
Chemung,Elmira 905,U.S. House,23,DEM,Linda Andrei,0
Chemung,Elmira 906,U.S. House,23,DEM,Linda Andrei,0
Chemung,Elmira 907,U.S. House,23,DEM,Linda Andrei,3
Chemung,Elmira 1001,U.S. House,23,DEM,Linda Andrei,9
Chemung,Elmira 1002,U.S. House,23,DEM,Linda Andrei,11
Chemung,Elmira 1003,U.S. House,23,DEM,Linda Andrei,0
Chemung,Elmira 1004,U.S. House,23,DEM,Linda Andrei,2
Chemung,Elmira 1005,U.S. House,23,DEM,Linda Andrei,0
Chemung,Elmira 1006,U.S. House,23,DEM,Linda Andrei,10
Chemung,Elmira 1007,U.S. House,23,DEM,Linda Andrei,11
Chemung,Elmira 1101,U.S. House,23,DEM,Linda Andrei,8
Chemung,Elmira 1102,U.S. House,23,DEM,Linda Andrei,8
Chemung,Elmira 1103,U.S. House,23,DEM,Linda Andrei,5
Chemung,Elmira 1104,U.S. House,23,DEM,Linda Andrei,1
Chemung,Elmira 1105,U.S. House,23,DEM,Linda Andrei,10
Chemung,Elmira 1106,U.S. House,23,DEM,Linda Andrei,0
Chemung,Elmira 1201,U.S. House,23,DEM,Linda Andrei,8
Chemung,Elmira 1202,U.S. House,23,DEM,Linda Andrei,4
Chemung,Elmira 1203,U.S. House,23,DEM,Linda Andrei,4
Chemung,Elmira 1204,U.S. House,23,DEM,Linda Andrei,4
Chemung,Elmira 1205,U.S. House,23,DEM,Linda Andrei,2
Chemung,Elmira 1206,U.S. House,23,DEM,Linda Andrei,0
Chemung,Elmira 1301,U.S. House,23,DEM,Linda Andrei,3
Chemung,Elmira 1302,U.S. House,23,DEM,Linda Andrei,6
Chemung,Elmira 1303,U.S. House,23,DEM,Linda Andrei,2
Chemung,Elmira 1304,U.S. House,23,DEM,Linda Andrei,7
Chemung,Elmira 1305,U.S. House,23,DEM,Linda Andrei,2
Chemung,Catlin 101,U.S. House,23,DEM,Linda Andrei,6
Chemung,Veteran 102,U.S. House,23,DEM,Linda Andrei,4
Chemung,Veteran 103,U.S. House,23,DEM,Linda Andrei,5
Chemung,Veteran 104,U.S. House,23,DEM,Linda Andrei,2
Chemung,Catlin 105,U.S. House,23,DEM,Linda Andrei,4
Chemung,Big Flats 201,U.S. House,23,DEM,Linda Andrei,9
