"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 07 1","President",,,"Total votes",543
"Monroe","Leg. Dist. 07 2","President",,,"Total votes",368
"Monroe","Leg. Dist. 16 1","President",,,"Total votes",8
"Monroe","Leg. Dist. 21 1","President",,,"Total votes",373
"Monroe","Leg. Dist. 21 2","President",,,"Total votes",317
"Monroe","Leg. Dist. 21 3","President",,,"Total votes",220
"Monroe","Leg. Dist. 21 4","President",,,"Total votes",216
"Monroe","Leg. Dist. 21 5","President",,,"Total votes",225
"Monroe","Leg. Dist. 21 6","President",,,"Total votes",451
"Monroe","Leg. Dist. 21 7","President",,,"Total votes",558
"Monroe","Leg. Dist. 21 8","President",,,"Total votes",183
"Monroe","Leg. Dist. 21 9","President",,,"Total votes",411
"Monroe","Leg. Dist. 21 10","President",,,"Total votes",479
"Monroe","Leg. Dist. 21 11","President",,,"Total votes",351
"Monroe","Leg. Dist. 21 12","President",,,"Total votes",734
"Monroe","Leg. Dist. 21 13","President",,,"Total votes",253
"Monroe","Leg. Dist. 21 14","President",,,"Total votes",178
"Monroe","Leg. Dist. 21 15","President",,,"Total votes",496
"Monroe","Leg. Dist. 21 16","President",,,"Total votes",176
"Monroe","Leg. Dist. 21 17","President",,,"Total votes",381
"Monroe","Leg. Dist. 21 18","President",,,"Total votes",321
"Monroe","Leg. Dist. 21 19","President",,,"Total votes",209
"Monroe","Leg. Dist. 21 20","President",,,"Total votes",209
"Monroe","Leg. Dist. 21 21","President",,,"Total votes",297
"Monroe","Leg. Dist. 21 22","President",,,"Total votes",408
"Monroe","Leg. Dist. 21 23","President",,,"Total votes",361
"Monroe","Leg. Dist. 21 24","President",,,"Total votes",501
"Monroe","Leg. Dist. 21 25","President",,,"Total votes",328
"Monroe","Leg. Dist. 21 26","President",,,"Total votes",119
"Monroe","Leg. Dist. 21 27","President",,,"Total votes",251
"Monroe","Leg. Dist. 22 1","President",,,"Total votes",460
"Monroe","Leg. Dist. 22 2","President",,,"Total votes",183
