county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,,Ballots Cast,551,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,,Ballots Cast,761,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,,Ballots Cast,761,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,,Ballots Cast,808,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,,Ballots Cast,2881,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,DEM,Hillary Clinton,127,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,DEM,Hillary Clinton,178,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,DEM,Hillary Clinton,199,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,DEM,Hillary Clinton,227,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,DEM,Hillary Clinton,731,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,REP,Donald J. Trump,326,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,REP,Donald J. Trump,419,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,REP,Donald J. Trump,413,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,REP,Donald J. Trump,450,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,REP,Donald J. Trump,1608,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,CON,Donald J. Trump,64,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,CON,Donald J. Trump,88,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,CON,Donald J. Trump,78,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,CON,Donald J. Trump,78,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,CON,Donald J. Trump,308,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,GRE,Jill Stein,3,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,GRE,Jill Stein,9,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,GRE,Jill Stein,19,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,GRE,Jill Stein,12,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,GRE,Jill Stein,43,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,WOR,Hillary Clinton,13,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,WOR,Hillary Clinton,17,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,WOR,Hillary Clinton,2,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,WOR,Hillary Clinton,9,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,WOR,Hillary Clinton,41,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,IND,Gary Johnson,13,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,IND,Gary Johnson,14,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,IND,Gary Johnson,19,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,IND,Gary Johnson,10,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,IND,Gary Johnson,56,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,WEP,Hillary Clinton,0,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,WEP,Hillary Clinton,2,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,WEP,Hillary Clinton,2,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,WEP,Hillary Clinton,3,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,WEP,Hillary Clinton,7,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,LBT,Gary Johnson,2,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,LBT,Gary Johnson,0,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,LBT,Gary Johnson,6,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,LBT,Gary Johnson,6,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,LBT,Gary Johnson,14,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,,Evan McMullin,,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,,Evan McMullin,2,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,,Evan McMullin,,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,,Evan McMullin,5,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,,Evan McMullin,7,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,,Darryl Castle,,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,,Darryl Castle,,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,,Darryl Castle,,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,,Darryl Castle,,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,,Darryl Castle,0,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,,Tom Hoeflidg,,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,,Tom Hoeflidg,,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,,Tom Hoeflidg,,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,,Tom Hoeflidg,,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,,Tom Hoeflidg,0,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,,Chris Keniston,,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,,Chris Keniston,,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,,Chris Keniston,,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,,Chris Keniston,,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,,Chris Keniston,0,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,,Scattering,,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,,Scattering,5,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,,Scattering,1,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,,Scattering,4,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,,Scattering,10,,,,,,,,,,,,,,
Niagara,Cambria/000/1,President,,,Blanks,3,,,,,,,,,,,,,,
Niagara,Cambria/000/2,President,,,Blanks,27,,,,,,,,,,,,,,
Niagara,Cambria/000/3,President,,,Blanks,22,,,,,,,,,,,,,,
Niagara,Cambria/000/4,President,,,Blanks,4,,,,,,,,,,,,,,
Niagara,Cambria/000,President,,,Blanks,56,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,,Ballots Cast,421,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,,Ballots Cast,416,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,,Ballots Cast,551,,,,,,,,,,,,,,
Niagara,Lockport/001/4,President,,,Ballots Cast,149,,,,,,,,,,,,,,
Niagara,Lockport/001,President,,,Ballots Cast,1537,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,DEM,Hillary Clinton,192,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,DEM,Hillary Clinton,166,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,DEM,Hillary Clinton,214,,,,,,,,,,,,,,
Niagara,Lockport/001/4,President,,DEM,Hillary Clinton,68,,,,,,,,,,,,,,
Niagara,Lockport/001,President,,DEM,Hillary Clinton,640,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,REP,Donald J. Trump,165,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,REP,Donald J. Trump,187,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,REP,Donald J. Trump,231,,,,,,,,,,,,,,
Niagara,Lockport/001/4,President,,REP,Donald J. Trump,51,,,,,,,,,,,,,,
Niagara,Lockport/001,President,,REP,Donald J. Trump,634,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,CON,Donald J. Trump,32,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,CON,Donald J. Trump,28,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,CON,Donald J. Trump,52,,,,,,,,,,,,,,
Niagara,Lockport/001/4,President,,CON,Donald J. Trump,6,,,,,,,,,,,,,,
Niagara,Lockport/001,President,,CON,Donald J. Trump,118,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,GRE,Jill Stein,13,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,GRE,Jill Stein,10,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,GRE,Jill Stein,10,,,,,,,,,,,,,,
Niagara,Lockport/001/4,President,,GRE,Jill Stein,5,,,,,,,,,,,,,,
Niagara,Lockport/001,President,,GRE,Jill Stein,38,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,WOR,Hillary Clinton,5,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,WOR,Hillary Clinton,9,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,WOR,Hillary Clinton,16,,,,,,,,,,,,,,
Niagara,Lockport/001/4,President,,WOR,Hillary Clinton,3,,,,,,,,,,,,,,
Niagara,Lockport/001,President,,WOR,Hillary Clinton,33,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,IND,Gary Johnson,6,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,IND,Gary Johnson,8,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,IND,Gary Johnson,18,,,,,,,,,,,,,,
Niagara,Lockport/001/4,President,,IND,Gary Johnson,4,,,,,,,,,,,,,,
Niagara,Lockport/001,President,,IND,Gary Johnson,36,,,,,,,,,,,,,,
Niagara,Lockport/001/1,President,,WEP,Hillary Clinton,2,,,,,,,,,,,,,,
Niagara,Lockport/001/2,President,,WEP,Hillary Clinton,1,,,,,,,,,,,,,,
Niagara,Lockport/001/3,President,,WEP,Hillary Clinton,2,,,,,,,,,,,,,,
